StateName	ConstituencyName	LeadingCandidate	LeadingParty	TrailingCandidate	TrailingParty	Margin	LeadingParty2014
Gujarat	Banaskantha	Parbatbhai Savabhai Patel	Bharatiya Janata Party	Parthibhai Galbabhai Bhatol	Indian National Congress	368296	Bharatiya Janata Party
Gujarat	Bardoli	Parbhubhai Nagarbhai Vasava	Bharatiya Janata Party	Chaudhari Dr. Tusharbhai Amarsinhbhai	Indian National Congress	215447	Bharatiya Janata Party
Gujarat	Bharuch	Mansukhbhai Dhanjibhai Vasava	Bharatiya Janata Party	Sherkhan Abdulsakur Pathan	Indian National Congress	334214	Bharatiya Janata Party
Gujarat	Bhavnagar	Dr.bharatiben Dhirubhai Shiyal	Bharatiya Janata Party	Patel Manharbhai Nagjibhai (vasani)	Indian National Congress	329519	Bharatiya Janata Party
Gujarat	Chhota Udaipur	Rathva Gitaben Vajesingbhai	Bharatiya Janata Party	Rathava Ranjitsinh Mohansinh	Indian National Congress	377943	Bharatiya Janata Party
Gujarat	Dahod	Jashvantsinh Sumanbhai Bhabhor	Bharatiya Janata Party	Katara Babubhai Khimabhai	Indian National Congress	127596	Bharatiya Janata Party
Gujarat	Gandhinagar	Amit Shah	Bharatiya Janata Party	Dr. C. J. Chavda	Indian National Congress	557014	Bharatiya Janata Party
Gujarat	Jamnagar	Poonamben Hematbhai Maadam	Bharatiya Janata Party	Kandoriya Mulubhai Ranmalbhai	Indian National Congress	236804	Bharatiya Janata Party
Gujarat	Junagadh	Chudasama Rajeshbhai Naranbhai	Bharatiya Janata Party	Vansh Punjabhai Bhimabhai	Indian National Congress	150185	Bharatiya Janata Party
Gujarat	Kachchh	Chavda Vinod Lakhamshi	Bharatiya Janata Party	Naresh Naranbhai Maheshwari	Indian National Congress	305513	Bharatiya Janata Party
Gujarat	Kheda	Chauhan Devusinh	Bharatiya Janata Party	Bimal Shah	Indian National Congress	367145	Bharatiya Janata Party
Gujarat	Mahesana	Shardaben Anilbhai Patel	Bharatiya Janata Party	A. J. Patel	Indian National Congress	281519	Bharatiya Janata Party
Gujarat	Navsari	C. R. Patil	Bharatiya Janata Party	Patel Dharmeshbhai Bhimbhai	Indian National Congress	689668	Bharatiya Janata Party
Gujarat	Panchmahal	Ratansinh Magansinh Rathod	Bharatiya Janata Party	Khant Vechatbhai Kuberbhai	Indian National Congress	428541	Bharatiya Janata Party
Gujarat	Patan	Dabhi Bharatsinhji Shankarji	Bharatiya Janata Party	Jagdish Thakor	Indian National Congress	193879	Bharatiya Janata Party
Gujarat	Porbandar	Rameshbhai Lavjibhai Dhaduk	Bharatiya Janata Party	Lalit Vasoya	Indian National Congress	229823	Bharatiya Janata Party
Gujarat	Rajkot	Kundaria Mohanbhai Kalyanjibhai	Bharatiya Janata Party	Kagathara Lalitbhai	Indian National Congress	368407	Bharatiya Janata Party
Gujarat	Sabarkantha	Rathod Dipsinh Shankarsinh	Bharatiya Janata Party	Thakor Rajendrasinh Shivsinh	Indian National Congress	268987	Bharatiya Janata Party
Gujarat	Surat	Darshana Vikram Jardosh	Bharatiya Janata Party	Ashok Patel (adhevada)	Indian National Congress	548230	Bharatiya Janata Party
Gujarat	Surendranagar	Dr. Munjapara Mahendrabhai	Bharatiya Janata Party	Koli Patel Somabhai Gandalal	Indian National Congress	277437	Bharatiya Janata Party
Gujarat	Vadodara	Ranjanben Bhatt	Bharatiya Janata Party	Prashant Patel (tiko)	Indian National Congress	589177	Bharatiya Janata Party
Gujarat	Valsad	Dr.k.c.patel	Bharatiya Janata Party	Chaudhari Jitubhai Harjibhai	Indian National Congress	353797	Bharatiya Janata Party
Haryana	Ambala	Rattan Lal Kataria	Bharatiya Janata Party	Selja	Indian National Congress	342345	Bharatiya Janata Party
Haryana	Bhiwani-mahendragarh	Dharambir Singh S/o Bhale Ram	Bharatiya Janata Party	Shruti Choudhry	Indian National Congress	444463	Bharatiya Janata Party
Haryana	Faridabad	Krishan Pal	Bharatiya Janata Party	Avtar Singh Bhadana	Indian National Congress	638239	Bharatiya Janata Party
Haryana	Gurgaon	Rao Inderjit Singh	Bharatiya Janata Party	Capt. Ajay Singh	Indian National Congress	386256	Bharatiya Janata Party
Haryana	Hisar	Brijendra Singh	Bharatiya Janata Party	Dushyant Chautala	Jannayak Janta Party	314068	Indian National Lok Dal
Haryana	Karnal	Sanjay Bhatia	Bharatiya Janata Party	Kuldip Sharma	Indian National Congress	656142	Bharatiya Janata Party
Haryana	Kurukshetra	Nayab Singh	Bharatiya Janata Party	Nirmal Singh	Indian National Congress	384591	Bharatiya Janata Party
Haryana	Rohtak	Arvind Kumar Sharma	Bharatiya Janata Party	Deepender Singh Hooda	Indian National Congress	7503	Indian National Congress
Haryana	Sirsa	Sunita Duggal	Bharatiya Janata Party	Ashok Tanwar	Indian National Congress	309918	Indian National Lok Dal
Haryana	Sonipat	Ramesh Chander Kaushik	Bharatiya Janata Party	Bhupinder Singh Hooda	Indian National Congress	164864	Bharatiya Janata Party
Himachal Pradesh	Hamirpur	Anurag Singh Thakur	Bharatiya Janata Party	Ram Lal Thakur	Indian National Congress	399572	Bharatiya Janata Party
Himachal Pradesh	Kangra	Kishan Kapoor	Bharatiya Janata Party	Pawan Kajal	Indian National Congress	477623	Bharatiya Janata Party
Himachal Pradesh	Mandi	Ram Swaroop Sharma	Bharatiya Janata Party	Aashray Sharma	Indian National Congress	405459	Bharatiya Janata Party
Himachal Pradesh	Shimla	Suresh Kumar Kashyap	Bharatiya Janata Party	Dhani Ram Shandil	Indian National Congress	327515	Bharatiya Janata Party
Jammu & Kashmir	Anantnag	Hasnain Masoodi	Jammu & Kashmir National Conference	Ghulam Ahmad Mir	Indian National Congress	6676	
Jammu & Kashmir	Baramulla	Mohammad Akbar Lone	Jammu & Kashmir National Conference	Raja Aijaz Ali	Jammu & Kashmir People Conference	30233	
Jammu & Kashmir	Jammu	Jugal Kishore	Bharatiya Janata Party	Raman Bhalla	Indian National Congress	302875	
Jammu & Kashmir	Ladakh	Jamyang Tsering Namgyal	Bharatiya Janata Party	Sajjad Hussain	Independent	10930	
Jammu & Kashmir	Srinagar	Farooq Abdullah	Jammu & Kashmir National Conference	Aga Syed Mohsin	Peoples Democratic Party	70050	
Jammu & Kashmir	Udhampur	Dr. Jitendra Singh	Bharatiya Janata Party	Vikramaditya Singh	Indian National Congress	357252	
Jharkhand	Chatra	Sunil Kumar Singh	Bharatiya Janata Party	Manoj Kumar Yadav	Indian National Congress	377871	Bharatiya Janata Party
Jharkhand	Dhanbad	Pashupati Nath Singh	Bharatiya Janata Party	Kirti Azad	Indian National Congress	486194	Bharatiya Janata Party
Jharkhand	Dumka	Sunil Soren	Bharatiya Janata Party	Shibu Soren	Jharkhand Mukti Morcha	47590	Jharkhand Mukti Morcha
Jharkhand	Giridih	Chandra Prakash Choudhary	AJSU Party	Jagarnath Mahto	Jharkhand Mukti Morcha	248347	Bharatiya Janata Party
Jharkhand	Godda	Nishikant Dubey	Bharatiya Janata Party	Pradeep Yadav	Jharkhand Vikas Morcha (Prajatantrik)	184227	Bharatiya Janata Party
Jharkhand	Hazaribagh	Jayant Sinha	Bharatiya Janata Party	Gopal Prasad Sahu	Indian National Congress	479548	Bharatiya Janata Party
Jharkhand	Jamshedpur	Bidyut Baran Mahato	Bharatiya Janata Party	Champai Soren	Jharkhand Mukti Morcha	302090	Bharatiya Janata Party
Jharkhand	Khunti	Arjun Munda	Bharatiya Janata Party	Kali Charan Munda	Indian National Congress	1445	Bharatiya Janata Party
Jharkhand	Kodarma	Annpurna Devi	Bharatiya Janata Party	Babu Lal Marandi	Jharkhand Vikas Morcha (Prajatantrik)	455600	Bharatiya Janata Party
Jharkhand	Lohardaga	Sudarshan Bhagat	Bharatiya Janata Party	Sukhdeo Bhagat	Indian National Congress	10363	Bharatiya Janata Party
Jharkhand	Palamau	Vishnu Dayal Ram	Bharatiya Janata Party	Ghuran Ram	Rashtriya Janata Dal	477606	Bharatiya Janata Party
Jharkhand	Rajmahal	Vijay Kumar Hansdak	Jharkhand Mukti Morcha	Hemlal Murmu	Bharatiya Janata Party	99195	Jharkhand Mukti Morcha
Jharkhand	Ranchi	Sanjay Seth	Bharatiya Janata Party	Subodh Kant Sahay	Indian National Congress	283026	Bharatiya Janata Party
Jharkhand	Singhbhum	Geeta Kora	Indian National Congress	Laxman Giluwa	Bharatiya Janata Party	72155	Bharatiya Janata Party
Karnataka	Bagalkot	Gaddigoudar Parvatagouda Chandanagouda	Bharatiya Janata Party	Veena Kashappanavar	Indian National Congress	168187	Bharatiya Janata Party
Karnataka	Bangalore Central	P. C. Mohan	Bharatiya Janata Party	Rizwan Arshad	Indian National Congress	70968	Bharatiya Janata Party
Karnataka	Bangalore North	D.v. Sadananda Gowda	Bharatiya Janata Party	Krishna Byregowda	Indian National Congress	147518	Bharatiya Janata Party
